id,bank,bank_name,bank_code,name,type,address,address_code,status,ward_commune,district,city,type_ward,type_district,type_city,city_code,economic_zone,mark,latitude,longitude
1,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Xuân Mai,Chi nhánh,"Số 9, Tổ 4, Khu Xuân Hà,thị trấn Xuân Mai, Chương Mỹ, Hà Nội",10018,1,Thị trấn Xuân Mai,Huyện Chương Mỹ,Thành phố Hà Nội,Thị trấn,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,cũ,20.9926731,105.8322262
2,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Big C,Chi nhánh,"16 lô 11A Trung Hoà, Cầu Giấy, Hà Nội",10051,1,Xã Trung Hòa,Huyện Chương Mỹ,Thành phố Hà Nội,Xã,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,Không ,,
3,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Nguyễn Thị Định,Chi nhánh,"Tầng 1, Tòa nhà 18T1 Khu Đô Thị Trung Hòa Nhân Chính, Cầu Giấy, Hà Nội",10051,1,Xã Trung Hòa,Huyện Chương Mỹ,Thành phố Hà Nội,Xã,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,Không ,20.9848235,105.8333306
4,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Trần Duy Hưng,Chi nhánh,"Tầng 1 - CT1, Tòa nhà Vimeco, Nguyễn Chánh, Cầu Giấy, Hà Nội",10051,1,Xã Trung Hòa,Huyện Chương Mỹ,Thành phố Hà Nội,Xã,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,Không ,,
5,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Trung Hòa,Chi nhánh,"Cánh 3 Tầng 1 Tòa nhà Trung Yên Plaza, Khu đô thị Trung Yên,Phường Trung Hòa, Cầu Giấy, Hà Nội",10051,1,Xã Trung Hòa,Huyện Chương Mỹ,Thành phố Hà Nội,Xã,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,Không ,21.01519005,105.80139155
6,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Trung Yên,Chi nhánh,"Số 12 lô 1B KĐT Trung Yên, Cầu Giấy, Hà Nội",10051,1,Xã Trung Hòa,Huyện Chương Mỹ,Thành phố Hà Nội,Xã,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,Không ,,
7,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Đan Phượng,Chi nhánh,"135 Tây Sơn,thị trấn Phùng, Đan Phượng, Hà Nội",09784,1,Thị trấn Phùng,Huyện Đan Phượng,Thành phố Hà Nội,Thị trấn,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,Cũ,21.0337986,105.8471473
8,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Đông Anh,Chi nhánh,"Số 143-145 khối 1B, thị trấn Đông Anh, Đông Anh, Hà Nội",00454,1,Thị trấn Đông Anh,Huyện Đông Anh,Thành phố Hà Nội,Thị trấn,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,Mới,,
9,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Đông Anh,Chi nhánh,"Số 2 Cao Lỗ, Uy Nỗ, Đông Anh, Hà Nội",00478,1,Xã Uy Nỗ,Huyện Đông Anh,Thành phố Hà Nội,Xã,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,Không ,,
10,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Ruby,Chi nhánh,"HD09-SP.BH-50 Khu đô thị Vinhomes Ocean Park, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",00565,1,Thị trấn Trâu Quỳ,Huyện Gia Lâm,Thành phố Hà Nội,Thị trấn,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,Mới,,
11,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Gia Lâm,Chi nhánh,"Số 1SH03, 1SH05, 1SH5A, 1SH06, 1SH8A tại tầng 1 thuộc Tòa nhà số S1.01 (L27M-2) tại lô đất B3-CT2, xã Đa Tốn, Gia Lâm, Hà Nội",00577,1,Xã Đa Tốn,Huyện Gia Lâm,Thành phố Hà Nội,Xã,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,Mới,10.751681,106.715746
12,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Ninh Hiệp,Chi nhánh,"Một phần tầng 1 Ngôi nhà tại Thôn 8, Gia Lâm, Hà Nội",00574,1,Xã Đông Dư,Huyện Gia Lâm,Thành phố Hà Nội,Xã,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,Không ,,
13,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Nam An Khánh,Chi nhánh,"Tầng 1 và tầng 2 ngôi nhà tại địa chỉ A7-NV1 ô số 8 và ô số 9, Khu đô thị mới hai bên đường Lê Trọng Tấn, xã An Khánh, Hoài Đức, Hà Nội",09877,1,Xã An Khánh,Huyện Hoài Đức,Thành phố Hà Nội,Xã,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,Mới,10.02968325,105.7804763
14,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Nam An Khánh,Chi nhánh,"Một phần diện tích tầng 1 lô CT6, khu đô thị Nam An Khánh,xã An Khánh, Hoài Đức, Hà Nội",09877,1,Xã An Khánh,Huyện Hoài Đức,Thành phố Hà Nội,Xã,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,mới,10.02968325,105.7804763
15,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Mê Linh,Chi nhánh,"Thôn Yên Nhân, xã Tiền Phong, Mê Linh, Hà Nội",09019,1,Xã Tiền Phong,Huyện Mê Linh,Thành phố Hà Nội,Xã,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,cũ,21.1451607,105.7594562
16,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Sóc Sơn,Chi nhánh,"Thử đất số 00, tờ bản đồ 00 lô 4-5 khu A II-7 khu đấu giá quyền sử dụng đất thị trấn Sóc Sơn, Sóc Sơn, Hà Nội",00376,1,Thị trấn Sóc Sơn,Huyện Sóc Sơn,Thành phố Hà Nội,Thị trấn,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,cũ,21.2146124,105.8035118
17,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Phủ Lỗ  ,Chi nhánh,"Số 196, đường 2,xã Phủ Lỗ, Sóc Sơn, Hà Nội",00448,1,Xã Phù Lỗ,Huyện Sóc Sơn,Thành phố Hà Nội,Xã,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,cũ,10.8606816,106.6883796
18,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Nhà ga T2,Chi nhánh,"E05K2-2, Khu vực công cộng Tầng 1, Nhà ga Hành khách T2, Sân bay quốc tế Nội Bài, Phú Minh, Sóc Sơn, Hà Nội, Sóc Sơn, Hà Nội",00445,0,Xã Phú Minh,Huyện Sóc Sơn,Thành phố Hà Nội,Xã,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,Không ,,
19,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Nội Bài,Chi nhánh,"Tầng 1 và tầng 2 khu nhà văn phòng 3 tầng, tòa nhà NTS, cảng hàng không QT Nội Bài, Xã Phú Minh, huyện Sóc Sơn, TP. Hà Nội.",00445,1,Xã Phú Minh,Huyện Sóc Sơn,Thành phố Hà Nội,Xã,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,cũ,21.0201787,105.8497393
20,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Hoàng Gia,Chi nhánh,"Tầng B1 khu TTTM TP Hoàng Gia (Royal City) 72 Nguyễn Trãi, Thanh Xuân, Hà Nội",00433,0,Xã Thanh Xuân,Huyện Sóc Sơn,Thành phố Hà Nội,Xã,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,Không ,10.761784,106.70182
21,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Phùng Xá,Chi nhánh,"Số 09, đường 419 xã Phùng Xá, Thạch Thất, Hà Nội",09997,1,Xã Phùng Xá,Huyện Thạch Thất,Thành phố Hà Nội,Xã,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,mới,21.008128096375813,105.62485749824152
22,Techcombank,Ngân hàng TMCP Kỹ Thương,36,Techcombank Thường Tín,Chi nhánh,"Tầng 2,3,4 ngôi nhà số 120 phố Ga,thị trấn Thường Tín, huyện Thường Tín, TP Hà Nội, Thường Tín, Hà Nội",10183,1,Thị trấn Thường Tín,Huyện Thường Tín,Thành phố Hà Nội,Thị trấn,Huyện,Thành phố,01,ĐỒNG BẰNG SÔNG HỒNG,cũ,,
