latlng	Column1	river	type	sub_type	province
"12.777667350467935, 108.35820292547848"	Nhà máy Điện mặt trời BMT Krông Pắk		Điện mặt trời		Đắk Lắk
"11.460120869768978, 106.22081459936378"	"Nhà máy Điện mặt trời Dầu Tiếng 1, 2"		Điện mặt trời		Tây Ninh
"13.054163760872862, 109.09070291070677"	Nhà máy Điện mặt trời Hòa Hội		Điện mặt trời		Phú Yên
"11.528080037519514, 108.87818962545744"	Nhà máy Điện mặt trời BP Solar 1		Điện mặt trời		Ninh Thuận
"10.590604511129959, 106.14640201066652"	Nhà máy Điện mặt trời BCG Băng Dương		Điện mặt trời		Long An
"11.443124200216019, 108.90101606352671"	Nhà máy Điện mặt trời BIM 1		Điện mặt trời		Ninh Thuận
"11.449600951818349, 108.89543679819671"	Nhà máy Điện mặt trời BIM 2		Điện mặt trời		Ninh Thuận
"11.400089014998896, 108.87759594079648"	Nhà máy Điện mặt trời BIM 3		Điện mặt trời		Ninh Thuận
"11.667768431481303, 109.05950087758904"	Nhà máy Điện gió Đầm Nại GĐ I		Điện gió		Ninh Thuận
"11.667768431481303, 109.05950087758904"	Nhà máy Điện gió Đầm Nại GĐ II		Điện gió		Ninh Thuận
"12.02178610260391, 109.09635587560409"	Nhà máy Điện mặt trời Cam Lâm VN		Điện mặt trời		Khánh Hòa
"11.988204693449227, 109.08159299823649"	Nhà máy Điện mặt trời KN Cam Lâm		Điện mặt trời		Khánh Hòa
"11.699256536116366, 108.83000652602482"	Nhà máy Điện mặt trời CMX Renewable Energy Việt Nam		Điện mặt trời		Ninh Thuận
"9.239688118263695, 105.82343999715381"	"Nhà máy Điện gió Bạc Liêu (GĐ I, II)"		Điện gió		Bạc Liêu
"11.298703011536682, 108.7337238260184"	Nhà máy Điện mặt trời Vĩnh Hảo 4		Điện mặt trời		Bình Thuận
"9.544223315141252, 106.44707934133423"	Nhà máy Điện gió Công Hải 1 phase 1		Điện gió		Ninh Thuận
"9.662235573630307, 106.5771246309713"	Nhà máy Điện gió Trà Vinh V1-3		Điện gió		Trà Vinh
"11.441613970073535, 108.88841046465586"	Nhà máy Điện mặt trời Phước Ninh		Điện mặt trời		Ninh Thuận
"11.452898810293679, 108.78962650305914"	Nhà máy Điện mặt trời Thiên Tân 1.2		Điện mặt trời		Ninh Thuận
"11.632500172603004, 108.84657807933228"	Nhà máy Điện mặt trời Thiên Tân 1.3		Điện mặt trời		Ninh Thuận
"9.191465064113029, 105.69541084771771"	Nhà máy Điện gió Hòa Bình 1		Điện gió		Bạc Liêu
"10.847859043065467, 107.99885162970564"	Nhà máy Điện gió Hàm Cường 2		Điện gió		Bình Thuận
"12.874284747464337, 107.83258548684485"	Nhà máy Điện mặt trời Jang Pông		Điện mặt trời		Đắk Lắk
"13.92626661562925, 107.91132877762897"	Nhà máy Điện gió Ia Pech		Điện gió		Gia Lai
"13.92626661562925, 107.91132877762897"	Nhà máy Điện gió Ia Pech 2		Điện gió		Gia Lai
"9.009252062860655, 105.4142742002803"	Nhà máy Điện gió Tân Thuận phase 2		Điện gió		Cà Mau
"11.606596177749068, 109.09721995983519"	Nhà máy Điện mặt trời Nhơn Hải		Điện mặt trời		Ninh Thuận
"13.172930771208142, 108.72508717150906"	Nhà máy Điện mặt trời Chư Ngọc-EVNLICOGI 16		Điện mặt trời		Gia Lai
"10.98245276847316, 108.29502416834286"	Nhà máy Điện gió Đại Phong		Điện gió		Bình Thuận
"8.694122996954961, 105.13691808067674"	Nhà máy Điện gió Tân Ân 1		Điện gió		Cà Mau
"13.307726124258243, 107.66563236412316"	Nhà máy Điện mặt trời Long Thành 1		Điện mặt trời		Đắk Lắk
"13.841127646121395, 108.47522327947443"	Nhà máy Điện gió Hưng Hải Gia Lai		Điện gió		Gia Lai
"10.90630854093069, 108.00973963283599"	Nhà máy Điện mặt trời Hàm Kiệm 1		Điện mặt trời		Bình Thuận
"11.417990667498525, 108.96540029107906"	Nhà máy Điện mặt trời Hồ Núi Một		Điện mặt trời		Ninh Thuận
"9.544530144469155, 106.44866720895807"	Nhà máy Điện gió Đông Hải 1 - Giai đoạn 2		Điện gió		Bạc Liêu
"11.417438385428024, 108.89065756963214"	Nhà máy Điện gió BIM		Điện gió		Ninh Thuận
"17.341013260191016, 106.71619885625542"	Nhà máy Điện gió BT 1		Điện gió		Quảng Bình
"17.28600196871946, 106.79374994701871"	Nhà máy Điện gió BT 2		Điện gió		Quảng Bình
"14.013398982932863, 108.71761368999556"	Nhà máy Điện gió Cửu An		Điện gió		Gia Lai
"11.734209985584824, 109.06392604875492"	Nhà máy Điện gió Hanbaram		Điện gió		Ninh Thuận
"11.009110991462524, 108.32406558681409"	Nhà máy Điện gió Hồng Phong 1		Điện gió		Bình Thuận
"16.708551432490896, 106.77703533905233"	Nhà máy Điện gió Hướng Hiệp 1		Điện gió		Quảng Trị
"16.7403413376284, 106.747374983547"	Nhà máy Điện gió Hướng Linh 7		Điện gió		Quảng Trị
"16.71347483928758, 106.7475575195962"	Nhà máy Điện gió Hướng Linh 8		Điện gió		Quảng Trị
"16.664789717829574, 106.70990577342774"	Nhà máy Điện gió Hướng Tân		Điện gió		Quảng Trị
"13.717115497713582, 107.97959529296624"	Nhà máy Điện gió Ia Bang 1		Điện gió		Gia Lai
"16.590232468230713, 106.7395144699008"	Nhà máy Điện gió AMACCAO Quảng Trị 1		Điện gió		Quảng Trị
"9.202364642941186, 105.62047432429485"	Nhà máy Điện gió KOSY Bạc Liêu		Điện gió		Bạc Liêu
"10.13629621578878, 106.78052408127571"	Nhà máy Điện gió Bình Đại 1		Điện gió		Bến Tre
"12.338312684470559, 107.64121221751788"	Nhà máy Điện gió Nam Bình 1		Điện gió		Đắk Nông
"13.524672254847793, 108.07610724299695"	Nhà máy Điện gió Nhơn Hòa 1		Điện gió		Gia Lai
"13.524672254847793, 108.07610724299695"	Nhà máy Điện gió Nhơn Hòa 2		Điện gió		Gia Lai
"16.68314525149829, 106.59535553166359"	Nhà máy Điện gió Phong Nguyên		Điện gió		Quảng Trị
"16.664789717829574, 106.70990577342774"	Nhà máy Điện gió Tân Linh		Điện gió		Quảng Trị
"9.612450954551665, 106.55492826221753"	Nhà máy Điện gió Hàn Quốc Trà Vinh		Điện gió		Trà Vinh
"11.713142297007883, 109.0295061315663"	Nhà máy Điện gió Trung Nam Ninh Thuận GĐ 1		Điện gió		Ninh Thuận
"11.713142297007883, 109.0295061315663"	Nhà máy Điện gió Trung Nam Ninh Thuận GĐ 2		Điện gió		Ninh Thuận
"11.713142297007883, 109.0295061315663"	Nhà máy Điện gió Trung Nam Ninh Thuận GĐ 3		Điện gió		Ninh Thuận
"13.144195064704322, 108.24433532363787"	Nhà máy Điện gió Ea Nam (HBRE Tây Nguyên phase 2)		Điện gió		Đắk Lắk
"9.544212734814673, 106.44737974872251"	Nhà máy Điện gió Đông Hải 1 Trà Vinh		Điện gió		Trà Vinh
"9.622931670104856, 106.56068084077071"	Nhà máy Điện gió Trà Vinh V1-2		Điện gió		Trà Vinh
"11.41610868713157, 108.85595175613804"	Nhà máy Điện mặt trời Thuận Nam Đức Long		Điện mặt trời		Ninh Thuận
"11.668666344723482, 108.787180334695"	Nhà máy Điện mặt trời Mỹ Sơn		Điện mặt trời		Ninh Thuận
"11.664196368632165, 108.79919602991635"	Nhà máy Điện mặt trời Mỹ Sơn 2		Điện mặt trời		Ninh Thuận
"11.665407326031275, 108.81172774449489"	Nhà máy Điện mặt trời Mỹ Sơn - Hoàn Lộc Việt		Điện mặt trời		Ninh Thuận
"11.886059268001388, 109.08998147943977"	Nhà máy Điện mặt trời Sông Giang		Điện mặt trời		Khánh Hòa
"11.458785518709771, 108.79890958497391"	Nhà máy Điện mặt trời Thuận Nam 12		Điện mặt trời		Ninh Thuận
"10.906150515132714, 108.00926756408295"	Nhà máy Điện mặt trời Hàm Kiệm		Điện mặt trời		Bình Thuận
"11.879071369819684, 109.08824688498073"	Nhà máy Điện mặt trời Tuấn Ân		Điện mặt trời		Khánh Hòa
"11.281031179933281, 108.7352430117271"	Nhà máy Điện mặt trời Vĩnh Hảo		Điện mặt trời		Bình Thuận
