id,name,investor,total_scale_area,operating_time,start_year,price,building_density,address,address_code,ward_commune,district,city,type_ward,type_district,type_city,city_code,economic_zone,latitude,longitude
1,Khu công nghiệp Trà Nóc I - Cần Thơ,TRANOCI-IP-CT,135ha, , ,60 USD/m2 Chưa bao gồm VAT,60 (%)," Phường Trà Nóc, quận Bình Thủy, thành phố Cần Thơ",31162,Phường Phước Thới,Quận Ô Môn,Thành phố Cần Thơ,Phường,Quận,Thành phố,92,ĐỒNG BẰNG SÔNG CỬU LONG,10.0982908,105.7148263
2,Khu công nghiệp Sông Hậu 2,SONGHAU2-IP-HAUGIANG,390 ha, , ,0 USD/m2 Giá chưa bao gồm VAT,70 (%)," thị trấn Mái Đầm, huyện Châu Thành, tỉnh Hậu Giang",31381,Thị trấn Mái Dầm,Huyện Châu Thành,Tỉnh Hậu Giang,Thị trấn,Huyện,Tỉnh,93,ĐỒNG BẰNG SÔNG CỬU LONG,9.9460454,105.8712142
3,Khu công nghiệp Texhong Hải Hà,Công ty TNHH KCN Texhong Việt Nam,660ha ,2064,2014,70 USD/m2 Giá chưa bao gồm VAT,60 (%),"huyện Hải Hà, tỉnh Quảng Ninh",06952,Xã Quảng Phong,Huyện Hải Hà,Tỉnh Quảng Ninh,Xã,Huyện,Tỉnh,22,ĐỒNG BẰNG SÔNG HỒNG,21.42685865,107.71849145536592
3, , , , , , , ,"huyện Hải Hà, tỉnh Quảng Ninh",06967,Xã Cái Chiên,Huyện Hải Hà,Tỉnh Quảng Ninh,Xã,Huyện,Tỉnh,22,ĐỒNG BẰNG SÔNG HỒNG,21.42685865,107.71849145536592
3, , , , , , , ,"huyện Hải Hà, tỉnh Quảng Ninh",06922,Thị trấn Quảng Hà,Huyện Hải Hà,Tỉnh Quảng Ninh,Thị trấn,Huyện,Tỉnh,22,ĐỒNG BẰNG SÔNG HỒNG,21.42685865,107.71849145536592
3, , , , , , , ,"huyện Hải Hà, tỉnh Quảng Ninh",06922,Thị trấn Quảng Hà,Huyện Hải Hà,Tỉnh Quảng Ninh,Thị trấn,Huyện,Tỉnh,22,ĐỒNG BẰNG SÔNG HỒNG,21.42685865,107.71849145536592
3, , , , , , , ,"huyện Hải Hà, tỉnh Quảng Ninh",06922,Thị trấn Quảng Hà,Huyện Hải Hà,Tỉnh Quảng Ninh,Thị trấn,Huyện,Tỉnh,22,ĐỒNG BẰNG SÔNG HỒNG,21.42685865,107.71849145536592
4,Khu công nghiệp Tân Bình - Thành phố Hồ Chí Minh,TANBINH-IP-HCM,128.7ha, ,1997,80 USD/m2 Chưa bao gồm VAT,60 (%),"108 Tây Thạnh, Phường 15, Quận Tân Bình, thành phố Hồ Chí Minh",27007,Phường 15,Quận Tân Bình,Thành phố Hồ Chí Minh,Phường,Quận,Thành phố,79,ĐÔNG NAM BỘ,10.820460950000001,106.6308112
5,Khu công nghiệp Lý Thường Kiệt,Công ty CP Phát triển KCN Số 1 VIDIFI,300 ha, ,2010,80 USD/m2 Chưa bao gồm VAT,60 (%),"118 Phạm Ngũ Lão, phường Quang Trung, thành phố Hưng Yên, tỉnh Hưng Yên",11959,Phường Quang Trung,Thành phố Hưng Yên,Tỉnh Hưng Yên,Phường,Thành phố,Tỉnh,33,ĐỒNG BẰNG SÔNG HỒNG,,
6,Khu công nghiệp Hòa Bình 2 - Kon Tum,HOABINH 2 - IP - KT,70ha, ,2020,0 USD/m2 Chưa bao gồm VAT,60 (%),"304 đường Phạm văn Đồng, phường Nguyễn Trãi, thành phố Kon Tum, tỉnh Kon Tum",23305,Phường Nguyễn Trãi,Thành phố Kon Tum,Tỉnh Kon Tum,Phường,Thành phố,Tỉnh,62,TÂY NGUYÊN,,
