id,retail_chain,name,type,address,address_code,status,ward_commune,district,city,type_ward,type_district,type_city,city_code,economic_zone,latitude,longitude
1,Aeon,Aeon Long Biên,Trung tâm Bách hoá Tổng hợp & Siêu thị,"27 Đường Cổ Linh, Phường Long Biên, Quận Long Biên, Thành phố Hà Nội",145,1,Phường Long Biên,Quận Long Biên,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,21.02712305,105.8999585694666
2,Aeon,Aeon Hà Đông,Trung tâm Bách hoá Tổng hợp & Siêu thị,"Phường Dương Nội, Quận Hà Đông, Thành phố Hà Nội",9886,1,Phường Dương Nội,Quận Hà Đông,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,20.9809284,105.74637
3,Aeon,Aeon The Nine,Siêu thị Tinh gọn,"Số 9 Phạm Văn Đồng, Mai Dịch, Cầu Giấy, Hà Nội",163,1,Phường Mai Dịch,Quận Cầu Giấy,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,21.047155519571067,105.77982153339455
4,Aeon,Aeon MaxValu Florence,Aeon MaxValu,"Tầng 1, tòa Florence, Đường Trần Hữu Dục, tổ 15, phường Cầu Diễn, quận Nam Từ Liêm, TP. Hà Nội.",592,1,Phường Cầu Diễn,Quận Nam Từ Liêm,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,,
5,Aeon,Aeon MaxValue Horizon,Aeon MaxValu,"N03T4 Horizon, KĐT Đoàn Ngoại Giao, xã Xuân Tảo, Bắc Từ Liêm, TP. Hà Nội",611,1,Phường Xuân Tảo,Quận Bắc Từ Liêm,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,,
6,Aeon,Aeon MaxValue Hyundai,Aeon MaxValu,"R8, Hyundai Hillsmall, Hà Trì, quận Hà Đông, TP. Hà Nội.",9556,1,Phường Hà Cầu,Quận Hà Đông,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,,
7,Aeon,Aeon MaxValu Kosmo,Aeon MaxValu,"Tòa nhà NH3 tổ hợp chung cư, văn phòng kết hợp dịch vụ thương mại Newtatco - Kosmo Tây Hồ, phường Xuân Tảo, quận Bắc Từ Liêm, TP. Hà Nội.",611,1,Phường Xuân Tảo,Quận Bắc Từ Liêm,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,,
8,Aeon,Aeon MaxValu La Casta,Aeon MaxValu,"Căn DV12-T1, Tòa B, Tòa La Casta, Khu đô thị mới Văn Phú, phường Phú La, quận Hà Đông, Thành phố Hà Nội",9552,1,Phường Phú La,Quận Hà Đông,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,,
9,Aeon,Aeon MaxValu Linh Đàm,Aeon MaxValu,"CT2-B, phố Văn Tân, Khu đô thị Tây Nam Linh Đàm, quận Hoàng Mai, TP. Hà Nội",337,1,Phường Hoàng Liệt,Quận Hoàng Mai,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,20.96466528141848,105.82220817382822
10,Aeon,Aeon MaxValu Lĩnh Nam,Aeon MaxValu,"Tầng 1, nhà HH01, số 87 Lĩnh Nam, phường Mai Động, quận Hoàng Mai, thành phố Hà Nội",310,1,Phường Mai Động,Quận Hoàng Mai,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,20.9641138,105.8230531
11,Aeon,Aeon MaxValu Lotus,Aeon MaxValu,"TM-02 tầng 1, Tòa NO1-T1, Khu Đô thị Ngoại giao đoàn, quận Bắc Từ Liêm, Hà Nội",610,1,Phường Xuân Đỉnh,Quận Bắc Từ Liêm,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,,
12,Aeon,Aeon MaxValu Ocean Park,Aeon MaxValu,"Sàn thương mại 01S12-12A-26 tầng 1, tòa U26 (S2.03), dự án khu đô thị Gia Lâm - Vinhomes Ocean Park, xã Đa Tốn, huyện Gia Lâm, Hà Nội",577,1,Xã Đa Tốn,Huyện Gia Lâm,Thành phố Hà Nội,Xã,Huyện,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,,
13,Aeon,Aeon MaxValu Riverside,Aeon MaxValu,"Tòa nhà Riverside Garden, số 349 P. Vũ Tông Phan, Khương Đình, quận Thanh Xuân, Hà Nội",364,1,Phường Khương Đình,Quận Thanh Xuân,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,,
14,Aeon,Aeon MaxValu Thăng Long No.1,Aeon MaxValu,"Viglacera Tower, số 1 Đại lộ Thăng Long, quận Nam Từ Liêm, Hà Nội",631,1,Phường Mễ Trì,Quận Nam Từ Liêm,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,,
15,Aeon,Aeon MaxValu The Five ,Aeon MaxValu,"Shophouse 3-4-5 tầng 1, tòa nhà The Five Residences Hà Nội, số 343-345 Đội Cấn, phường Liễu Giai, quận Ba Đình, Hà Nội",8,1,Phường Liễu Giai,Quận Ba Đình,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,,
16,Aeon,Aeon MaxvValu Zen Park,Aeon MaxValu,"Diện tích thương mại số 1S09, 1S10, 1S11, 1SH15, Tầng 1,Tòa nhà U32A-1 (“Tòa nhà”), Lô đất B5-CT01, Dự án khu đô thị Gia Lâm [Vinhomes Ocean Park], Thị trấn Trâu Quỳ, Huyện Gia Lâm, Thành phố Hà Nội",565,1,Thị trấn Trâu Quỳ,Huyện Gia Lâm,Thành phố Hà Nội,Thị trấn,Huyện,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,,
17,Aeon,Aeon MaxValu Symphony,Aeon MaxValu,"Tầng 1, toà S1, Khu Vinhomes Symphony, phường Phúc Lơi, quận Long Biên, thành phố Hà Nội",136,1,Phường Phúc Lợi,Quận Long Biên,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,,
18,Aeon,Aeon Xuân Thủy,Trung tâm Bách hoá Tổng hợp & Siêu thị,"Số 122 - 124 Xuân Thuỷ, Phường Dịch Vọng Hậu, Quận Cầu Giấy, TP. Hà Nội",167,1,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,21.0373977,105.78646021915677
19,Aeon,Aeon Tân Phú Celadon,Trung tâm Bách hoá Tổng hợp & Siêu thị,"30 Đ. Tân Thắng, Sơn Kỳ, Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",27016,1,Phường Sơn Kỳ,Quận Tân Phú,Thành phố Hồ Chí Minh,Phường,Quận,Thành phố,79,ĐÔNG NAM BỘ,10.80167145,106.61761448552548
20,Aeon,Aeon Bình Tân,Trung tâm Bách hoá Tổng hợp & Siêu thị,"1 Đường Số 17A, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",27451,1,Phường Bình Trị Đông B,Quận Bình Tân,Thành phố Hồ Chí Minh,Phường,Quận,Thành phố,79,ĐÔNG NAM BỘ,10.7424923,106.61158094086866
21,Aeon,Aeon Nguyễn Văn Linh,Siêu thị Tinh gọn,"Tầng B1, Crescent Mall - 101 Đ Tôn Dật Tiên, Tân Phú, Quận 7, TP. Hồ Chí Minh",27487,1,Phường Tân Phú,Quận 7,Thành phố Hồ Chí Minh,Phường,Quận,Thành phố,79,ĐÔNG NAM BỘ,10.7101307,106.6426315
22,Aeon,Aeon Tạ Quang Bửu,Trung tâm Bách hoá Tổng hợp & Siêu thị,"Tầng 1 & 2, cổng B, TTTM Parc Mall, 547-549 Đ. Tạ Quang Bửu, P.4, Quận 8, TP Hồ Chí Minh",27409,1,Phường 04,Quận 8,Thành phố Hồ Chí Minh,Phường,Quận,Thành phố,79,ĐÔNG NAM BỘ,10.7405627,106.678167
23,Aeon,Aeon MaxValu Five Star Garden,Aeon MaxValu,"Tầng 1, Toà G4-G5, chung cư Five Star Garden, Số 2 đường Kim Giang, phường Kim Giang, quận Thanh Xuân, Thành phố Hà Nội",373,1,Phường Kim Giang,Quận Thanh Xuân,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,,
24,Aeon,Aeon Bình Dương Canary,Trung tâm Bách hoá Tổng hợp & Siêu thị,"1 Đại lộ Bình Dương, Khu Phố, Thuận An, Bình Dương, Việt Nam",25972,1,Phường Thuận Giao,Thành phố Thuận An,Tỉnh Bình Dương,Phường,Thành phố,Tỉnh,74,ĐÔNG NAM BỘ,10.964789403683408,106.68654000211616
25,Aeon,Aeon Bình Dương New City,Siêu thị Tinh gọn,"Lô C19 Đường Hùng Vương, Phú Mỹ, Thủ Dầu Một, tỉnh Bình Dương, Việt Nam",25762,1,Phường Phú Mỹ,Thành phố Thủ Dầu Một,Tỉnh Bình Dương,Phường,Thành phố,Tỉnh,74,ĐÔNG NAM BỘ,,
26,Aeon,Aeon Hải Phòng Lê Chân,Siêu thị Tinh gọn,"Số 10 đường Võ Nguyên Giáp, phường Kênh Dương, quận Lê Chân, thành phố Hải Phòng, Việt Nam",11405,1,Phường Kênh Dương,Quận Lê Chân,Thành phố Hải Phòng,Phường,Quận,Thành phố,31,ĐỒNG BẰNG SÔNG HỒNG,20.828998942389408,106.68475171324212
27,Aeon,Aeon MaxValu Ecopark,Aeon MaxValu,"Tầng 1, căn S2-05 - tháp A3 (Sky2), dự án Khu căn hộ Vịnh Thủy (Aqua Bay) Khu đô thị Ecopark, Xuân Quan, Văn Giang, Hưng Yên",12022,1,Xã Xuân Quan,Huyện Văn Giang,Tỉnh Hưng Yên,Xã,Huyện,Tỉnh,33,ĐỒNG BẰNG SÔNG HỒNG,20.9533568,105.9389933
28,Aeon,Aeon MaxValu Eccopark Rừng Cọ,Aeon MaxValu,"Tầng 1, tòa E2 khu Rừng Cọ - KĐT Ecopark giai đoạn 1, Xuân Quan, Văn Giang, Hưng Yên",12022,1,Xã Xuân Quan,Huyện Văn Giang,Tỉnh Hưng Yên,Xã,Huyện,Tỉnh,33,ĐỒNG BẰNG SÔNG HỒNG,,
29,Aeon,Aeon MaxValu Westbay,Aeon MaxValu,"Tầng 1 Tòa A Westbay, Khu đô thị Ecopark, Văn Giang, Hưng Yên",12028,1,Xã Phụng Công,Huyện Văn Giang,Tỉnh Hưng Yên,Xã,Huyện,Tỉnh,33,ĐỒNG BẰNG SÔNG HỒNG,,
30,Aeon,Aeon MaxValu Sky Oasis,Aeon MaxValu,"Tầng 1, toà nhà Sky Oasis, KĐT Ecopack, Xuân Quan, Văn Giang, Hưng Yên",12022,1,Xã Xuân Quan,Huyện Văn Giang,Tỉnh Hưng Yên,Xã,Huyện,Tỉnh,33,ĐỒNG BẰNG SÔNG HỒNG,,
31,Aeon,Aeon Huế,Trung tâm Bách hoá Tổng hợp & Siêu thị,"08 Võ Nguyên Giáp, An Đông, Thành phố Huế, Tỉnh Thừa Thiên Huế",19815,1,Phường An Đông,Thành phố Huế,Tỉnh Thừa Thiên Huế,Phường,Thành phố,Tỉnh,46,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,16.45389075,107.61516480066106
32,BRG , ,Hệ thống siêu thị BRG Mart,"Intracom Vĩnh Ngọc, Đông Anh, Hà Nội",502,1,Xã Vĩnh Ngọc,Huyện Đông Anh,Thành phố Hà Nội,Xã,Huyện,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,21.112610250000003,105.82856281697846
33,BRG , ,Hệ thống siêu thị BRG Mart,"120 Hàng Trống, Hoàn Kiếm, Hà Nội",70,1,Phường Hàng Trống,Quận Hoàn Kiếm,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,21.0288287,105.8506795
34,BRG , ,Hệ thống siêu thị BRG Mart,"Số 1 Lý Nam Đế, Hoàn Kiếm, Hà Nội",55,1,Phường Cửa Đông,Quận Hoàn Kiếm,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,21.03502568452201,105.84497203364572
35,BRG , ,Hệ thống siêu thị BRG Mart,"63 Hàng Trống, Hoàn Kiếm, Hà Nội",70,1,Phường Hàng Trống,Quận Hoàn Kiếm,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,21.0302081,105.8500434
36,BRG , ,Hệ thống siêu thị BRG Mart,"5 Hàm Tử Quan, Hoàn Kiếm, Hà Nội",67,1,Phường Chương Dương,Quận Hoàn Kiếm,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,21.03158045437591,105.85799170819756
37,BRG , ,Hệ thống siêu thị BRG Mart,"Số 8 Phạm Ngọc Thạch, Đống Đa, Hà Nội ",229,1,Phường Kim Liên,Quận Đống Đa,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,21.008057210956185,105.83354135434794
38,BRG , ,Hệ thống siêu thị BRG Mart,"11-13 Thành Công, Ba Đình, Hà Nội",34,1,Phường Thành Công,Quận Ba Đình,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,21.0205111,105.8152857
39,BRG , ,Hệ thống siêu thị BRG Mart,"Ngõ 390, tòa nhà Berriver, Nguyễn Văn Cừ, Long Biên, Hà Nội",139,1,Phường Bồ Đề,Quận Long Biên,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,,
